Nimi;Väkiluku 2017;Väkiluvun muutos %;Työllisyysaste %;Taloudellinen huoltosuhde
Taivassalo;1654;2.0;73.5;157.1
Tammela;6155;-1.4;72.7;143.2
Tampere;231853;1.6;63.9;138.2
Tervo;1585;-1.6;62.7;186.7
Tervola;3068;-1.0;62.8;200.9
Teuva;5269;-1.8;68.5;182.4
Tohmajärvi;4571;-1.8;60.0;202.1
Toholampi;3192;-1.2;69.7;178.9
Toivakka;2384;-2.0;70.1;168.7
Tornio;21928;-0.9;66.1;160.1
Turku;189669;1.1;64.0;139.9
Tuusniemi;2597;-1.7;56.5;221.9
Tuusula;38646;0.2;77.6;114.4
Tyrnävä;6730;-0.3;71.9;170.2
Ulvila;13237;-0.6;69.8;160.7
Urjala;4829;-0.6;64.5;189.9
Utajärvi;2768;-2.0;61.6;205.3
Utsjoki;1242;0.1;71.3;147.7
Uurainen;3747;0.8;70.1;165.7
Uusikaarlepyy;7521;0.1;79.9;126.4
Uusikaupunki;15752;2.3;72.3;143.8
Vaala;2941;-3.3;59.9;222.4
Vaasa;67392;-0.3;68.3;133.8
Valkeakoski;21136;-1.0;66.2;170.6
Valtimo;2218;-1.2;61.7;204.2
Vantaa;223027;1.7;72.9;113.1
Varkaus;21155;-1.5;60.3;189.0
Vehmaa;2316;1.7;73.6;142.8
Vesanto;2094;-2.5;64.2;209.1
Vesilahti;4460;0.0;73.4;141.5
Veteli;3216;-1.3;73.2;148.6
Vieremä;3685;-1.0;70.6;148.9
Vihti;29054;0.3;75.5;121.0
Viitasaari;6411;-3.0;61.5;200.2
Vimpeli;2974;-1.7;66.4;173.5
Virolahti;3207;-1.8;66.0;173.6
Virrat;6844;-1.1;65.1;197.0
Vårdö;430;-2.1;81.5;125.1
Vöyri;6616;-1.0;76.3;135.4
Ylitornio;4118;-2.0;64.7;193.7
Ylivieska;15251;0.3;68.6;154.3
Ylöjärvi;32878;0.2;73.9;134.6
Ypäjä;2372;-0.4;69.8;148.4
Ähtäri;5906;-1.3;68.4;172.3
Äänekoski;19144;-1.2;63.1;186.4
